title,description,category,averageRating,ratingsCount,thumbnail,authors,cluster
Balloon Animals,"BALLOON ANIMALS is a pilgrimage and road-trip of unusual dimensions.Follow me, Jonny Rowe, on a wild goose-chase from Ireland to the USA with my American grandfather's remains in my red birthday balloon. I use 'remains' in the loosest sense of the word: my grandfather, 45, puffed his last breaths of air into my birthday balloon before suffering a massive heart attack right BALLOON ANIMALS is a pilgrimage and road-trip of unusual dimensions.Follow me, Jonny Rowe, on a wild goose-chase from Ireland to the USA with my American grandfather's remains in my red birthday balloon. I use 'remains' in the loosest sense of the word: my grandfather, 45, puffed his last breaths of air into my birthday balloon before suffering a massive heart attack right there at my birthday party which becomes his deathday party.Feeling responsible for 45's death, and as a thank-you for filling Clinical Dad's void after leaving that questionable suicide note, I make it my quest to return 45 to his birthplace amongst the corn of Iowa, USA, suspended inside his soul-bubble. This journey might also help me with my identity-crisis ... I'm a genealogy student, by the way. And who knows, maybe I'll find love - I tend to find things when I'm not looking for them.Join me on a desperate race against time to unveil the truth as my birthday balloon begins to deflate and loose 45 forever to the wind ...more",Fiction,3.0,0.0,https://books.toscrape.com/media/cache/f3/fc/f3fc38185b3b6ede38fd9dea2590c01f.jpg,Unknown,2
Art Ops Vol. 1,"Reggie Riot is no one’s idea of a cultural savior. The latchkey child of a busy single mother, he’s grown up to be a resentful slacker whose idea of high culture is getting stoned and admiring the graffiti in the alley where he scores his weed. His mother, however, is not your average working parent. She’s the head of a secret organization called Art Ops, whose mission i Reggie Riot is no one’s idea of a cultural savior. The latchkey child of a busy single mother, he’s grown up to be a resentful slacker whose idea of high culture is getting stoned and admiring the graffiti in the alley where he scores his weed.   His mother, however, is not your average working parent. She’s the head of a secret organization called Art Ops, whose mission is protecting the artistic treasures of the world—which have a lot more life in them than a casual observer might realize.   Reggie has always shunned his mom’s high-culture scene, but a devastating encounter with the shadowy forces menacing the world’s masterpieces has left him with a permanent expression of the chaotic power of art flowing through his very veins.   So when Art Ops itself suddenly vanishes without a trace, leaving its final rescue—La Gioconda, the Mona Lisa herself—out in the cold, it’s up to Reggie and his motley crew—including a masked super-powered operative who writes sitcom scripts on spec, a girls-just-wanna-have-fun ’80s music-video icon, and a suburban clerk from a mall-punk clothing chain—to come to the rescue.   But do they have what it takes to stand up to the dark side of human creativity?   From writer Shaun Simon (co-author of The True Lives of the Fabulous Killjoys with My Chemical Romance’s Gerard Way) and artists Michael Allred (co-creator of iZOMBIE) and Matt Brundage (The Spirit: The New Adventures) comes ART OPS VOL. 1: HOW TO START A RIOT, collecting issues #1-5 of the ongoing VERTIGO series and featuring a special sketchbook section from Allred and Brundage. ...more",Sequential Art,3.0,0.0,https://books.toscrape.com/media/cache/36/36/3636bc73e33a70300d8265667373d622.jpg,Unknown,2
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),"This Printz Honor Book is a “tender, honest exploration of identity” (Publishers Weekly) that distills lyrical truths about family and friendship.Aristotle is an angry teen with a brother in prison. Dante is a know-it-all who has an unusual way of looking at the world. When the two meet at the swimming pool, they seem to have nothing in common. But as the loners start spen This Printz Honor Book is a “tender, honest exploration of identity” (Publishers Weekly) that distills lyrical truths about family and friendship.Aristotle is an angry teen with a brother in prison. Dante is a know-it-all who has an unusual way of looking at the world. When the two meet at the swimming pool, they seem to have nothing in common. But as the loners start spending time together, they discover that they share a special friendship—the kind that changes lives and lasts a lifetime. And it is through this friendship that Ari and Dante will learn the most important truths about themselves and the kind of people they want to be. ...more",Young Adult,4.0,0.0,https://books.toscrape.com/media/cache/e5/3a/e53a42b20d0c60634289aaad3fbb75c6.jpg,Unknown,1
Angels Walking (Angels Walking #1),"When former national baseball star Tyler Ames suffers a career-ending injury, all he can think about is putting his life back together the way it was before. He has lost everyone he loves on his way to the big leagues. Then just when things seem to be turning around, Tyler hits rock bottom. Across the country, Tyler’s one true love Sami Dawson has moved on. A series of sma When former national baseball star Tyler Ames suffers a career-ending injury, all he can think about is putting his life back together the way it was before. He has lost everyone he loves on his way to the big leagues. Then just when things seem to be turning around, Tyler hits rock bottom. Across the country, Tyler’s one true love Sami Dawson has moved on. A series of small miracles leads Tyler to a maintenance job at a retirement home and a friendship with Virginia Hutcheson, an old woman with Alzheimer’s who strangely might have the answers he so desperately seeks.A team of Angels Walking take on the mission to restore hope for Tyler, Sami, and Virginia. Can such small and seemingly insignificant actions of the unseen bring healing and redemption? And can the words of a stranger rekindle lost love? Every journey begins with a step.It is time for the mission to begin… ...more",Add a comment,2.0,0.0,https://books.toscrape.com/media/cache/ba/d9/bad95369105e8e403bf1f2b9288c5e41.jpg,Unknown,2
Angels & Demons (Robert Langdon #1),"When world-renowned Harvard symbologist Robert Langdon is summoned to a Swiss research facility to analyze a mysterious symbol—seared into the chest of a murdered physicist—he discovers evidence of the unimaginable: the resurgence of an ancient secret brotherhood known as the Illuminati ... the most powerful underground organization ever to walk the earth. The Illuminati h When world-renowned Harvard symbologist Robert Langdon is summoned to a Swiss research facility to analyze a mysterious symbol—seared into the chest of a murdered physicist—he discovers evidence of the unimaginable: the resurgence of an ancient secret brotherhood known as the Illuminati ... the most powerful underground organization ever to walk the earth. The Illuminati has now surfaced to carry out the final phase of its legendary vendetta against its most hated enemy—the Catholic Church. Langdon’s worst fears are confirmed on the eve of the holy conclave, when a messenger of the Illuminati announces they have hidden an unstoppable time bomb at the very heart of Vatican City. With the countdown under way, Langdon jets to Rome to join forces with Vittoria Vetra, a beautiful and mysterious Italian scientist, to assist the Vatican in a desperate bid for survival. Embarking on a frantic hunt through sealed crypts, dangerous catacombs, deserted cathedrals, and even the most secretive vault on earth, Langdon and Vetra follow a 400-year-old trail of ancient symbols that snakes across Rome toward the long-forgotten Illuminati lair ... a clandestine location that contains the only hope for Vatican salvation. ...more",Default,3.0,0.0,https://books.toscrape.com/media/cache/c2/fd/c2fd7fed7aa38d095127d2ec62726b17.jpg,Unknown,2
All the Light We Cannot See,"WINNER OF THE PULITZER PRIZEFrom the highly acclaimed, multiple award-winning Anthony Doerr, the beautiful, stunningly ambitious instant New York Times bestseller about a blind French girl and a German boy whose paths collide in occupied France as both try to survive the devastation of World War II.Marie-Laure lives with her father in Paris near the Museum of Natural Histo WINNER OF THE PULITZER PRIZEFrom the highly acclaimed, multiple award-winning Anthony Doerr, the beautiful, stunningly ambitious instant New York Times bestseller about a blind French girl and a German boy whose paths collide in occupied France as both try to survive the devastation of World War II.Marie-Laure lives with her father in Paris near the Museum of Natural History, where he works as the master of its thousands of locks. When she is six, Marie-Laure goes blind and her father builds a perfect miniature of their neighborhood so she can memorize it by touch and navigate her way home. When she is twelve, the Nazis occupy Paris and father and daughter flee to the walled citadel of Saint-Malo, where Marie-Laure’s reclusive great-uncle lives in a tall house by the sea. With them they carry what might be the museum’s most valuable and dangerous jewel.In a mining town in Germany, the orphan Werner grows up with his younger sister, enchanted by a crude radio they find. Werner becomes an expert at building and fixing these crucial new instruments, a talent that wins him a place at a brutal academy for Hitler Youth, then a special assignment to track the resistance. More and more aware of the human cost of his intelligence, Werner travels through the heart of the war and, finally, into Saint-Malo, where his story and Marie-Laure’s converge.Doerr’s “stunning sense of physical detail and gorgeous metaphors” (San Francisco Chronicle) are dazzling. Deftly interweaving the lives of Marie-Laure and Werner, he illuminates the ways, against all odds, people try to be good to one another. Ten years in the writing, a National Book Award finalist, All the Light We Cannot See is a magnificent, deeply moving novel from a writer “whose sentences never fail to thrill” (Los Angeles Times). ...more",Historical,5.0,0.0,https://books.toscrape.com/media/cache/a6/96/a696c1d6bb1ff8f65f51a116160b2aef.jpg,Unknown,1
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection","Are you a special snowflake? Do you enjoy networking to advance your career? Is adulthood an exciting new challenge for which you feel fully prepared? Ugh. Please go away.This book is for the rest of us. These comic document the wasting of entire beautiful weekends on the internet, the unbearable agony of holding hands on the street with a gorgeous guy, dreaming all day of Are you a special snowflake? Do you enjoy networking to advance your career? Is adulthood an exciting new challenge for which you feel fully prepared? Ugh. Please go away.This book is for the rest of us. These comic document the wasting of entire beautiful weekends on the internet, the unbearable agony of holding hands on the street with a gorgeous guy, dreaming all day of getting home and back into pajamas, and wondering when, exactly, this adulthood thing begins. In other words, the horrors and awkwardnesses of young modern life. ...more",Sequential Art,2.0,0.0,https://books.toscrape.com/media/cache/bd/b8/bdb8adf93cb0a6778930ccd543dd9b37.jpg,Unknown,2
Abstract City,"In July 2008, illustrator and designer Christoph Niemann began Abstract City, a visual blog for the New York Times. His posts were inspired by the desire to re-create simple and everyday observations and stories from his own life that everyone could relate to. In Niemann’s hands, mundane experiences such as riding the subway or trying to get a good night’s sleep were trans In July 2008, illustrator and designer Christoph Niemann began Abstract City, a visual blog for the New York Times. His posts were inspired by the desire to re-create simple and everyday observations and stories from his own life that everyone could relate to. In Niemann’s hands, mundane experiences such as riding the subway or trying to get a good night’s sleep were transformed into delightful flights of visual fancy. The struggle to keep up with housework became a battle against adorable but crafty goblins, and nostalgia about New York manifested in simple but strikingly spot-on LEGO creations. This brilliantly illustrated collection of reflections on modern life includes all 16 of the original blog posts as well as a new chapter created exclusively for the book. Also available from Christoph Niemann: Sunday Sketching and I LEGO N.Y. Praise for Abstract City: “Everyday experiences—from looking at leaves to riding city subways—are funny and fresh and often a source of wonder when depicted by this brilliant graphic designer.” —Readers Digest “I will call Christoph when anything awful happens to me. And he will make me laugh like crazy about the whole thing. Because he is insanely funny and completely tenderly true. I love every column he did and will do.” —Maira Kalman, author/illustrator of And the Pursuit of Happiness “Christoph Niemann is the best illustrator alive. Every single time I come across a piece of his work, which is often as he either works all the time, or worse, draws incredibly fast, it is wonderful. While the rest of us are lucky to get a proper piece out here and there, Christoph produces hit after hit after hit. If he wasn’t such a genuinely sweet man, we’d surely hate his ass a lot.” —Stefan Sagmeister, author of Things I Have Learned in My Life So Far “Few books have more probingly and humorously gotten inside the mind and day-to-day experience of an artist.” —NPR.org ""What’s terrifying (to me, certainly, and possibly to many of his peers) is that nearly every idea he has seems to be equally well formed . . . once again, performing neat, virtuosic circles around the rest of us, to our delight."" —PRINT magazine ""Irresistible."" —Very Short List “A masterpiece of sophisticated humor, this is a brilliant one-of-a-kind work.” —Library Journal, starred review ...more",Nonfiction,5.0,0.0,https://books.toscrape.com/media/cache/5f/5e/5f5e2741d6c84f05fdd5adf8ba0d5642.jpg,Unknown,1
A Time of Torment (Charlie Parker #14),"Jerome Burnel was once a hero. He intervened to prevent multiple killings and in doing so damned himself. His life was torn apart. He was imprisoned, brutalized.But in his final days, with the hunters circling, he tells his story to private detective Charlie Parker. He speaks of the girl who was marked for death but was saved, of the ones who tormented him, and an entity t Jerome Burnel was once a hero. He intervened to prevent multiple killings and in doing so damned himself. His life was torn apart. He was imprisoned, brutalized.But in his final days, with the hunters circling, he tells his story to private detective Charlie Parker. He speaks of the girl who was marked for death but was saved, of the ones who tormented him, and an entity that hides in a ruined stockade.Parker is not like other men. He died, and was reborn. He is ready to wage war.Now he will descend upon a strange, isolated community called the Cut, and face down a force of men who rule by terror, intimidation, and murder.All in the name of the being they serve.All in the name of the Dead King. ...more",Mystery,5.0,0.0,https://books.toscrape.com/media/cache/f1/37/f137a410ed7d6fcfce17d081caf97915.jpg,Unknown,1
A Study in Scarlet (Sherlock Holmes #1),"In the debut of literature's most famous sleuth, a dead man is discovered in a bloodstained room in Brixton. The only clues are a wedding ring, a gold watch, a pocket edition of Boccaccio's Decameron, and a word scrawled in blood on the wall. With this investigation begins the partnership of Sherlock Holmes and Dr. Watson. Their search for the murderer uncovers a story of In the debut of literature's most famous sleuth, a dead man is discovered in a bloodstained room in Brixton. The only clues are a wedding ring, a gold watch, a pocket edition of Boccaccio's Decameron, and a word scrawled in blood on the wall. With this investigation begins the partnership of Sherlock Holmes and Dr. Watson. Their search for the murderer uncovers a story of love and revenge-and heralds a franchise of detective mysteries starring the formidable Holmes. ...more",Mystery,2.0,0.0,https://books.toscrape.com/media/cache/27/40/274003f2720f82844873945b87af6c19.jpg,Unknown,2
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer","A wry, witty account of what it is like to face death—and be restored to life.After being diagnosed in her early 40s with metastatic melanoma—a ""rapidly fatal"" form of cancer—journalist and mother of two Mary Elizabeth Williams finds herself in a race against the clock. She takes a once-in-a-lifetime chance and joins a clinical trial for immunotherapy, a revolutionary drug A wry, witty account of what it is like to face death—and be restored to life.After being diagnosed in her early 40s with metastatic melanoma—a ""rapidly fatal"" form of cancer—journalist and mother of two Mary Elizabeth Williams finds herself in a race against the clock. She takes a once-in-a-lifetime chance and joins a clinical trial for immunotherapy, a revolutionary drug regimen that trains the body to vanquish malignant cells. Astonishingly, her cancer disappears entirely in just a few weeks. But at the same time, her best friend embarks on a cancer journey of her own—with very different results. Williams's experiences as a patient and a medical test subject reveal with stark honesty what it takes to weather disease, the extraordinary new developments that are rewriting the rules of science—and the healing power of human connection. ...more",Add a comment,2.0,0.0,https://books.toscrape.com/media/cache/07/5f/075fff6094c0805f9f6b9e12561aeb87.jpg,Unknown,2
A People's History of the United States,"Known for its lively, clear prose as well as its scholarly research, A People's History of the United States is the only volume to tell America's story from the point of view of - and in the words of - America's women, factory workers, African Americans, Native Americans, working poor, and immigrant laborers.",Add a comment,2.0,0.0,https://books.toscrape.com/media/cache/bd/93/bd930adc47ee0dc240f8134f70f431ad.jpg,Unknown,2
A Man Called Ove,"A grumpy yet loveable man finds his solitary world turned on its head when a boisterous young family moves in next door.Meet Ove. He's a curmudgeon, the kind of man who points at people he dislikes as if they were burglars caught outside his bedroom window. He has staunch principles, strict routines, and a short fuse. People call him the bitter neighbor from hell, but must A grumpy yet loveable man finds his solitary world turned on its head when a boisterous young family moves in next door.Meet Ove. He's a curmudgeon, the kind of man who points at people he dislikes as if they were burglars caught outside his bedroom window. He has staunch principles, strict routines, and a short fuse. People call him the bitter neighbor from hell, but must Ove be bitter just because he doesn't walk around with a smile plastered to his face all the time?Behind the cranky exterior there is a story and a sadness. So when one November morning a chatty young couple with two chatty young daughters move in next door and accidentally flatten Ove's mailbox, it is the lead-in to a comical and heartwarming tale of unkempt cats, unexpected friendship, and the ancient art of backing up a U-Haul. All of which will change one cranky old man and a local residents' association to their very foundations. ...more",Fiction,1.0,0.0,https://books.toscrape.com/media/cache/e9/e2/e9e22f047d6733f6c9dbbb8bf5342b09.jpg,Unknown,0
A Distant Mirror: The Calamitous 14th Century,"Barbara W. Tuchman--the acclaimed author of the Pulitzer Prize–winning classic The Guns of August--once again marshals her gift for character, history, and sparkling prose to compose an astonishing portrait of medieval Europe.The fourteenth century reflects two contradictory images: on the one hand, a glittering age of crusades, cathedrals, and chivalry; on the other, a wo Barbara W. Tuchman--the acclaimed author of the Pulitzer Prize–winning classic The Guns of August--once again marshals her gift for character, history, and sparkling prose to compose an astonishing portrait of medieval Europe.The fourteenth century reflects two contradictory images: on the one hand, a glittering age of crusades, cathedrals, and chivalry; on the other, a world plunged into chaos and spiritual agony. In this revelatory work, Tuchman examines not only the great rhythms of history but the grain and texture of domestic life: what childhood was like; what marriage meant; how money, taxes, and war dominated the lives of serf, noble, and clergy alike. Granting her subjects their loyalties, treacheries, and guilty passions, Tuchman re-creates the lives of proud cardinals, university scholars, grocers and clerks, saints and mystics, lawyers and mercenaries, and, dominating all, the knight--in all his valor and “furious follies,” a “terrible worm in an iron cocoon.” ...more",History,3.0,0.0,https://books.toscrape.com/media/cache/d8/0a/d80ac19cd0aef94c5ac257b1eb3c1d37.jpg,Unknown,2
A Brush of Wings (Angels Walking #3),"From #1 New York Times bestselling author Karen Kingsbury comes the third novel in the unforgettable Angels Walking series about divine intervention and the trials and triumphs of life for a group of friends.Despite needing a heart transplant and against the advice of her doctor, Mary Catherine moves to Uganda to work at a brand new orphanage. Whatever time she has left, M From #1 New York Times bestselling author Karen Kingsbury comes the third novel in the unforgettable Angels Walking series about divine intervention and the trials and triumphs of life for a group of friends.Despite needing a heart transplant and against the advice of her doctor, Mary Catherine moves to Uganda to work at a brand new orphanage. Whatever time she has left, Mary Catherine wants to spend it helping children—especially since there will be no children of her own. The only problem is Major League Baseball player Marcus Dillinger, the man she never meant to fall in love with. Neither Marcus nor Mary Catherine’s other friends—Tyler Ames and Sami Dawson—know just how serious her heart condition is.Still, Marcus is sure in the depths of his soul that something isn’t right. Ultimately his correspondence with Mary Catherine leads him on a desperate life-or-death mission to rescue her and get her to a US hospital before time runs out. Meanwhile, Sami and Tyler struggle with issues of their own. In a season when Tyler plans to ask Sami to marry him, the very core of their relationship is in jeopardy.The team of angels walking is busier than ever in this epic battle between life and death. A Brush of Wings is a poignant tale of love, sacrifice, and the power of faith. ...more",Add a comment,1.0,0.0,https://books.toscrape.com/media/cache/19/11/1911d173c8e812518900af9aa16d9e46.jpg,Unknown,0
1491: New Revelations of the Americas Before Columbus,"In this groundbreaking work of science, history, and archaeology, Charles C. Mann radically alters our understanding of the Americas before the arrival of Columbus in 1492.Contrary to what so many Americans learn in school, the pre-Columbian Indians were not sparsely settled in a pristine wilderness; rather, there were huge numbers of Indians who actively molded and influe In this groundbreaking work of science, history, and archaeology, Charles C. Mann radically alters our understanding of the Americas before the arrival of Columbus in 1492. Contrary to what so many Americans learn in school, the pre-Columbian Indians were not sparsely settled in a pristine wilderness; rather, there were huge numbers of Indians who actively molded and influenced the land around them. The astonishing Aztec capital of Tenochtitlan had running water and immaculately clean streets, and was larger than any contemporary European city. Mexican cultures created corn in a specialized breeding process that it has been called man’s first feat of genetic engineering. Indeed, Indians were not living lightly on the land but were landscaping and manipulating their world in ways that we are only now beginning to understand. Challenging and surprising, this a transformative new look at a rich and fascinating world we only thought we knew. ...more",History,3.0,0.0,https://books.toscrape.com/media/cache/2d/d2/2dd235d80326531092c70e191d630c7d.jpg,Unknown,2
"The Three Searches, Meaning, and the Story","Human societies have always been preoccupied with three main searches: the Search for Technology, the Search for Truth, and the Search for Meaning. Social structures; currents of action and thought; philosophies; and history, all are driven and honed by the Three Searches. And the most frequent and conscious of these searches is that for Meaning. The Story is indispensable Human societies have always been preoccupied with three main searches: the Search for Technology, the Search for Truth, and the Search for Meaning. Social structures; currents of action and thought; philosophies; and history, all are driven and honed by the Three Searches. And the most frequent and conscious of these searches is that for Meaning. The Story is indispensable for the Search for Meaning.In this second part of The Story in Three Parts, John H.T. Francis presents a philosophical essay on the central role of the Story in our lives and in our general understanding of the world. The Story is everywhere, in all that is of human meaning. It is in us and in our outside reality; it is even, in a certain sense, our outside reality in its unfolding.The Three Searches, Meaning, and the Story is a foundational essay in philosophy, which can be read independently from the other parts of The Story in Three Parts. ...more",Default,3.0,0.0,https://books.toscrape.com/media/cache/35/ec/35ec45c2c5ed5eceb29fe5823ee9744e.jpg,Unknown,2
Searching for Meaning in Gailana,"Gailana is the central island of the world; Aurganots, Reminos, Hindarassis, Pelanese, and Free People, different societies with different customs and values, live in it. Gailana is old, with a history rich in events and civilisations. The mother island has undergone important changes in recent decades, including a devastating war from which the Aurganots emerged victoriou Gailana is the central island of the world; Aurganots, Reminos, Hindarassis, Pelanese, and Free People, different societies with different customs and values, live in it. Gailana is old, with a history rich in events and civilisations. The mother island has undergone important changes in recent decades, including a devastating war from which the Aurganots emerged victorious. Following this war, Aurganot has become a country of wealth, technology, and power, dominating all others.In this modern age, Aurganots value their new found joie de vivre; Pelanese love commerce and business; Reminos are still dedicated to honour and glory in war; Hindarassis continue to care most about their families; and the Free People cherish their freedom above anything else. Among the Free People, a young Levon has set a high and ambitious goal: to seek and find the ultimate meaning of all that humans do. Levon has been on his intellectual quest for years, and the coming days are significant. Paratos, the sage of Gailana, is in the land of the Free People, and Levon is readying to meet him. The young man knows that something life changing will come out from this meeting, only he does not imagine what.In this fictional first part of The Story in Three Parts, John H.T. Francis tells the story of Levon, a young and sincere soul looking for meaning in a changing world. This short novel will take you on a journey through Gailana, shows you its diversity, and brings you close to many of its human aspects. Events will develop fast on the island, and Levon is about to be in the midst of them. ...more",Fantasy,1.0,0.0,https://books.toscrape.com/media/cache/9e/b4/9eb4396139c421fc9f832011c68adb2c.jpg,Unknown,0
Rook,"History has a way of repeating itself. In the Sunken City that was once Paris, all who oppose the new revolution are being put to the blade. Except for those who disappear from their prison cells, a red-tipped rook feather left in their place. The mysterious Red Rook a savior of the innocent, and a criminal in the eyes of the government.Meanwhile, across the sea in the Com History has a way of repeating itself. In the Sunken City that was once Paris, all who oppose the new revolution are being put to the blade. Except for those who disappear from their prison cells, a red-tipped rook feather left in their place. The mysterious Red Rook a savior of the innocent, and a criminal in the eyes of the government.Meanwhile, across the sea in the Commonwealth, Sophia Bellamy's arranged marriage to the wealthy René Hasard is the last chance to save her family from ruin. But when the search for the Red Rook comes straight to her doorstep, Sophia discovers that her fiancé is not all he seems. Which is only fair, because neither is she. As the Red Rook grows bolder and the stakes grow ever higher, Sophia and René find themselves locked in a tantalizing game of cat and mouse.Daring intrigue, delicious romance, and spine-tingling suspense fill the pages of this extraordinary tale from award-winning author Sharon Cameron. ...more",Add a comment,4.0,0.0,https://books.toscrape.com/media/cache/64/ab/64ab238bea10c4f25fa5bc9129a35370.jpg,Unknown,1
My Kitchen Year: 136 Recipes That Saved My Life,"NEW YORK TIMES BESTSELLERIn the fall of 2009, the food world was rocked when Gourmet magazine was abruptly shuttered by its parent company. No one was more stunned by this unexpected turn of events than its beloved editor in chief, Ruth Reichl, who suddenly faced an uncertain professional future. As she struggled to process what had seemed unthinkable, Reichl turned to the NEW YORK TIMES BESTSELLERIn the fall of 2009, the food world was rocked when Gourmet magazine was abruptly shuttered by its parent company. No one was more stunned by this unexpected turn of events than its beloved editor in chief, Ruth Reichl, who suddenly faced an uncertain professional future. As she struggled to process what had seemed unthinkable, Reichl turned to the one place that had always provided sanctuary. “I did what I always do when I’m confused, lonely, or frightened,” she writes. “I disappeared into the kitchen.”My Kitchen Year follows the change of seasons—and Reichl’s emotions—as she slowly heals through the simple pleasures of cooking. While working 24/7, Reichl would “throw quick meals together” for her family and friends. Now she has the time to rediscover what cooking meant to her. Imagine kale, leaves dark and inviting, sautéed with chiles and garlic; summer peaches baked into a simple cobbler; fresh oysters chilling in a box of snow; plump chickens and earthy mushrooms, fricasseed with cream. Over the course of this challenging year, each dish Reichl prepares becomes a kind of stepping stone to finding joy again in ordinary things. The 136 recipes collected here represent a life’s passion for food: a blistering ma po tofu that shakes Reichl out of the blues; a decadent grilled cheese sandwich that accompanies a rare sighting in the woods around her home; a rhubarb sundae that signals the arrival of spring. Here, too, is Reichl’s enlivening dialogue with her Twitter followers, who become her culinary supporters and lively confidants. Part cookbook, part memoir, part paean to the household gods, My Kitchen Year may be Ruth Reichl’s most stirring book yet—one that reveals a refreshingly vulnerable side of the world's most famous food editor as she shares treasured recipes to be returned to again and again and again. ...more",Food and Drink,2.0,0.0,https://books.toscrape.com/media/cache/70/48/7048787b6fdc04627217bf39465acb7e.jpg,Unknown,2
13 Hours: The Inside Account of What Really Happened In Benghazi,"The harrowing, true account from the brave men on the ground who fought back during the Battle of Benghazi. 13 HOURS presents, for the first time ever, the true account of the events of September 11, 2012, when terrorists attacked the US State Department Special Mission Compound and a nearby CIA station called the Annex in Benghazi, Libya. A team of six American security The harrowing, true account from the brave men on the ground who fought back during the Battle of Benghazi. 13 HOURS presents, for the first time ever, the true account of the events of September 11, 2012, when terrorists attacked the US State Department Special Mission Compound and a nearby CIA station called the Annex in Benghazi, Libya. A team of six American security operators fought to repel the attackers and protect the Americans stationed there. Those men went beyond the call of duty, performing extraordinary acts of courage and heroism, to avert tragedy on a much larger scale. This is their personal account, never before told, of what happened during the thirteen hours of that now-infamous attack.13 HOURS sets the record straight on what happened during a night that has been shrouded in mystery and controversy. Written by New York Times bestselling author Mitchell Zuckoff, this riveting book takes readers into the action-packed story of heroes who laid their lives on the line for one another, for their countrymen, and for their country.13 HOURS is a stunning, eye-opening, and intense book--but most importantly, it is the truth. The story of what happened to these men--and what they accomplished--is unforgettable. ...more",Nonfiction,1.0,0.0,https://books.toscrape.com/media/cache/db/8d/db8dda82c57fd0c2b466d40c04ed6075.jpg,Unknown,0
Will You Won't You Want Me?,"Marjorie Plum never meant to peak in high school. She was Queen Bee. Now, 10 years later, she's lost her sparkle. At her bleakest moment, she’s surprised by renewed interest from a questionable childhood crush, and the bickering with her cranky boss—at a potentially game-changing new job—grows increasingly like flirtatious banter. Suddenly, she’s faced with a choice betwee Marjorie Plum never meant to peak in high school. She was Queen Bee. Now, 10 years later, she's lost her sparkle. At her bleakest moment, she’s surprised by renewed interest from a questionable childhood crush, and the bickering with her cranky boss—at a potentially game-changing new job—grows increasingly like flirtatious banter. Suddenly, she’s faced with a choice between the life she always dreamed of and one she never thought to imagine. With the help of a precocious 11-year-old tutee, who unknowingly becomes the Ghost of Marjorie Past, and a musician roommate, who looks like a pixie and talks like the Dalai Lama, Marjorie struggles with the ultimate question: Who does she want to be? Nora Zelevansky’s Will You Won’t You Want Me? is a funny, often surprising, novel about growing up when you are already supposed to be grown. ...more",Womens Fiction,3.0,0.0,https://books.toscrape.com/media/cache/b9/ef/b9efe934eaeb1f51ad31a971188d7bc3.jpg,Unknown,2
Tipping Point for Planet Earth: How Close Are We to the Edge?,"Tipping Point for Planet Earth explains why Earth is headed for a tipping point, a change so fast, dramatic, and unexpected that humanity will reel at the consequences.Midway through this century, there will be more than nine billion people on the planet. Already we are using most of the arable land that exists and overfishing the oceans. Water, too, is becoming scarce in Tipping Point for Planet Earth explains why Earth is headed for a tipping point, a change so fast, dramatic, and unexpected that humanity will reel at the consequences.Midway through this century, there will be more than nine billion people on the planet. Already we are using most of the arable land that exists and overfishing the oceans. Water, too, is becoming scarce in many places.The services that humans depend upon--like a supply of clean water, food production, and protection from disease--are subject to dangerous threats as well.We can still keep humanity moving forward by ensuring that the negative changes that are accumulating do not outweigh the positive ones. Tipping Point for Planet Earth offers sensible solutions to our most pressing problems. The grand challenge of the 21st century is to change the endgame from one that looks like a train wreck, to one that sees the train carrying us all into a bright future. ...more",Science,1.0,0.0,https://books.toscrape.com/media/cache/8e/cb/8ecbec21e76445ee83229a439e22aeaa.jpg,Unknown,0
The Star-Touched Queen,"Fate and fortune. Power and passion. What does it take to be the queen of a kingdom when you’re only seventeen?Maya is cursed. With a horoscope that promises a marriage of death and destruction, she has earned only the scorn and fear of her father’s kingdom. Content to follow more scholarly pursuits, her whole world is torn apart when her father, the Raja, arranges a weddi Fate and fortune. Power and passion. What does it take to be the queen of a kingdom when you’re only seventeen?Maya is cursed. With a horoscope that promises a marriage of death and destruction, she has earned only the scorn and fear of her father’s kingdom. Content to follow more scholarly pursuits, her whole world is torn apart when her father, the Raja, arranges a wedding of political convenience to quell outside rebellions. Soon Maya becomes the queen of Akaran and wife of Amar. Neither roles are what she expected: As Akaran’s queen, she finds her voice and power. As Amar’s wife, she finds something else entirely: Compassion. Protection. Desire…But Akaran has its own secrets—thousands of locked doors, gardens of glass, and a tree that bears memories instead of fruit. Soon, Maya suspects her life is in danger. Yet who, besides her husband, can she trust? With the fate of the human and Otherworldly realms hanging in the balance, Maya must unravel an ancient mystery that spans reincarnated lives to save those she loves the most…including herself. ...more",Fantasy,5.0,0.0,https://books.toscrape.com/media/cache/dc/57/dc57f908a0a2e130a5c065893a9005dd.jpg,Unknown,1
