title,authors,description,category,averageRating,ratingsCount,thumbnail
Diary of a Genius,Salvador Dalí,"The author, the noted surrealist painter, discusses his approach to art, his fellow artists, his working methods, and his life",Biography & Autobiography,,,
Leonardo da Vinci,Françoise Viatte,,Drawing,,,
Roman Art,Helga von Heintze,,"Art, Roman",,,
Calder,Alexander Calder,"""Alexander Calder--artist, creator of stabile and mobile sculptures, marvelous juggler of form and space--needs no introduction. With the casual informality loved by his intimates, the man who changed the direction of art in our time tells the story of his life and work in his 1966 autobiography. In the new introduction for this edition, Jean Davidson, Calder's son-in-law, speaks of this innovative artist's life, revealing glimpses of the man, his art, and his sense of approaching death.""--Publisher's description.",Art,,,http://books.google.com/books/content?id=qXbZAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Religious Art of Andy Warhol,"Jane Dillenberger, Andy Warhol","An examination of the spiritual side of Warhol looks at his art during his final years, which includes paintings based on Leonardo da Vinci's ""Last Supper,"" and Warhol's ""Skull"" and ""Cross"" paintings.",Art,,,http://books.google.com/books/content?id=YNjpAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Freedom Dreams,Robin D. G. Kelley,"Kelley unearths freedom dreams in this exciting history of renegade intellectuals and artists of the African diaspora in the twentieth century. Focusing on the visions of activists from C. L. R. James to Aime Cesaire and Malcolm X, Kelley writes of the hope that Communism offered, the mindscapes of Surrealism, the transformative potential of radical feminism, and of the four-hundred-year-old dream of reparations for slavery and Jim Crow. From'the preeminent historian of black popular culture' (Cornel West), an inspiring work on the power of imagination to transform society.-- Back cover.",Art,,,http://books.google.com/books/content?id=JtTtAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Black Knight: Ritchie Blackmore,Jerry Bloom,"Dubbed the 'man in black', it’s time to look beyond the myth and the rumours of this most charismatic but misunderstood of rock Guitarists. Ritchie Blackmore's early days saw him mixing with colourful characters like Screaming Lord Sutch, Joe Meek and Jerry Lee Lewis. Then he became a defining member of Seventies legends Deep Purple, creating the rock anthems 'Black Night' and 'Smoke On The Water'. Over the years Blackmore's moodiness and eccentric behaviour, his three marriages and his clashes with the law have earned him a reputation as one of rock's most abrasive figures. Yet there are many unexpected sides to this complex man. Black Knight has been written and researched by Jerry Bloom, a fan who first met Ritchie more than twenty years ago and has followed his varied career ever since. The result is a biography rich in detail and full of surprising insights.",Music,3,2,http://books.google.com/books/content?id=1f53kihTyRMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Hard Bop,the late David H. Rosenthal,"It's nineteen fifty-something, in a dark, cramped, smoke-filled room. Everyone's wearing black. And on-stage a tenor is blowing his heart out, a searching, jagged saxophone journey played out against a moody, walking bass and the swish of a drummer's brushes. To a great many listeners--from African American aficionados of the period to a whole new group of fans today--this is the very embodiment of jazz. It is also quintessential hard bop. In this, the first thorough study of the subject, jazz expert and enthusiast David H. Rosenthal vividly examines the roots, traditions, explorations and permutations, personalities and recordings of a climactic period in jazz history. Beginning with hard bop's origins as an amalgam of bebop and R&B, Rosenthal narrates the growth of a movement that embraced the heavy beat and bluesy phrasing of such popular artists as Horace Silver and Cannonball Adderley; the stark, astringent, tormented music of saxophonists Jackie McLean and Tina Brooks; the gentler, more lyrical contributions of trumpeter Art Farmer, pianists Hank Jones and Tommy Flanagan, composers Benny Golson and Gigi Gryce; and such consciously experimental and truly one-of-a-kind players and composers as Andrew Hill, Sonny Rollins, John Coltrane, Thelonious Monk, and Charles Mingus. Hard bop welcomed all influences--whether Gospel, the blues, Latin rhythms, or Debussy and Ravel--into its astonishingly creative, hard-swinging orbit. Although its emphasis on expression and downright ""badness"" over technical virtuosity was unappreciated by critics, hard bop was the music of black neighborhoods and the last jazz movement to attract the most talented young black musicians. Fortunately, records were there to catch it all. The years between 1955 and 1965 are unrivaled in jazz history for the number of milestones on vinyl. Miles Davis's Kind of Blue, Charles Mingus's Mingus Ah Um, Thelonious Monk's Brilliant Corners, Horace Silver's Further Explorations--Rosenthal gives a perceptive cut-by-cut analysis of these and other jazz masterpieces, supplying an essential discography as well. For knowledgeable jazz-lovers and novices alike, Hard Bop is a lively, multi-dimensional, much-needed examination of the artists, the milieus, and above all the sounds of one of America's great musical epochs.",Music,,,http://books.google.com/books/content?id=M7ddb72BGzgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Eurovision!,Chris West,"An entertaining look at the changing face of the Eurovision Song Contest and the political and cultural influences behind its kitsch and glitzy façade. Do you think the world of the Eurovision Song Contest, with its crazy props, even crazier dancers, and crazier still songs has nothing to do with serious European politics? Think again. The contest has been a mirror for cultural, social, and political developments in Europe ever since its inauguration, when an audience in dinner jackets and ball gowns politely applauded each song. It has been a voice of rebellion across the Iron Curtain, an inspiration for new European nations in the 1990s and 2000s, the voice of liberation for both sexual and regional minorities. It even once triggered a national revolution. Eurovision! charts both the history of Europe and the history of the Eurovision Song Contest over the last six decades, and shows how seamlessly they interlink — and what an amazing journey it has been.",Music,,,http://books.google.com/books/content?id=v8vnDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Schubert Song Companion,John Reed,"Provides background information on the text and translation for all of Schubert's songs. ""A bible for the serious Schubertian.""--Back cover.",Biography & Autobiography,2,1,http://books.google.com/books/content?id=5MSxqOisofgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"Mozart at the Gateway to His Fortune: Serving the Emperor, 1788-1791",Christoph Wolff,"ASCAP-Deems Taylor Award winner A fresh look at the life of Mozart during his imperial years by one of the world's leading Mozart scholars. ""I now stand at the gateway to my fortune,"" Mozart wrote in a letter of 1790. He had entered into the service of Emperor Joseph II of Austria two years earlier as Imperial-Royal Chamber Composer—a salaried appointment with a distinguished title and few obligations. His extraordinary subsequent output, beginning with the three final great symphonies from the summer of 1788, invites a reassessment of this entire period of his life. Readers will gain a new appreciation and understanding of the composer's works from that time without the usual emphasis on his imminent death. The author discusses the major biographical and musical implications of the royal appointment and explores Mozart's ""imperial style"" on the basis of his major compositions—keyboard,chamber, orchestral, operatic, and sacred—and focuses on the large, unfamiliar works he left incomplete. This new perspective points to an energetic, fresh beginning for the composer and a promising creative and financial future.",Biography & Autobiography,,,http://books.google.com/books/content?id=Z3Aa195IHh0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Audio Sampling,"Sam McGuire, Roy Pritts",Step by step guide to using and creating sampling instruments,Computers,,,http://books.google.com/books/content?id=L81Gkb0z3UUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Jazz Theory Book,Mark Levine,"The most highly-acclaimed jazz theory book ever published! Over 500 pages of comprehensive, but easy to understand text covering every aspect of how jazz is constructed---chord construction, II-V-I progressions, scale theory, chord/scale relationships, the blues, reharmonization, and much more. A required text in universities world-wide, translated into five languages, endorsed by Jamey Aebersold, James Moody, Dave Liebman, etc.",Music,5,2,http://books.google.com/books/content?id=iyNQpJ4oaMcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Singers of Italian Opera,John Rosselli,"Adelina Patti was the most highly regarded singer in history. She earned nearly $5,000 a night and had her own railway carriage. Yet a minor comic singer would perform for the cost of his food and a pair of shoes to wear on stage. John Rosselli's wide-ranging study introduces all those singers, members of the chorus as well as stars, who have sung Italian opera from 1600 to the twentieth century. Singers are shown slowly emancipating themselves from dependence on great patrons and entering the dangerous freedom of the market. Rosselli also examines the sexist prejudices against the castrati of the eighteenth century and against women singers. Securely rooted in painstaking scholarship and sprinkled with amusing anecdote, this is a book to fascinate and inform opera fans at all levels.",Biography & Autobiography,,,http://books.google.com/books/content?id=ru5zpGgIuTYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
J. S. Bach,Peter Williams,"Peter Williams approaches afresh the life and music of arguably the most studied of all composers, interpreting both Bach's life by deconstructing his original obituary in the light of more recent information and his music by evaluating his priorities and irrepressible creative energy. How, even though belonging to musical families on both his parents' sides, did he come to possess so bewitching a sense of rhythm and melody and a mastery of harmony that established nothing less than a norm in Western culture? In considering that the works of a composer are his biography, the book's title A Life in Music means both a life spent making music and one revealed in the music as we know it. A distinguished scholar and performer, Williams re-examines Bach's life as an orphan and family man, as an extraordinarily gifted composer and player and as an ambitious artist who never suffered fools gladly.",Music,,,http://books.google.com/books/content?id=R2tkkPvcnDsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Stravinsky,Stephen Walsh,"Widely regarded the greatest composer of the twentieth century, Igor Stravinsky was central to the development of modernism in art. Deeply influential and wonderfully productive, he is remembered for dozens of masterworks, from The Firebird and The Rite of Spring to The Rake's Progress, but no dependable biography of him exists. Previous studies have relied too heavily on his own unreliable memoirs and conversations, and until now no biographer has possessed both the musical knowledge to evaluate his art and the linguistic proficiency needed to explore the documentary background of his life--a life whose span extended from tsarist Russia to Switzerland, France, and ultimately the United States. In this revealing volume, the first of two, Stephen Walsh follows Stravinsky from his birth in 1882 to 1934. He traces the composer's early Russian years in new and fascinating detail, laying bare the complicated relationships within his family and showing how he first displayed his extraordinary talents within the provincial musical circle around his teacher, Nikolay Rimsky-Korsakov. Stravinsky's brilliantly creative involvement with the Ballets Russes is illuminated by a sharp sense of the internal artistic politics that animated the group. Portraying Stravinsky's circumstances as an émigré in France trying to make his living as a conductor and pianist as well as a composer while beset by emotional and financial demands, Walsh reveals the true roots of his notorious obsession with money during the 1920s and describes with sympathy the nature of his long affair with Vera Sudeykina. While always respecting Stravinsky's own insistence that life and art be kept distinct, Stravinsky makes clear precisely how the development of his music was connected to his life and to the intellectual environment in which he found himself. But at the same time it demonstrates the composer's remarkably pragmatic psychology, which led him to consider the welfare of his art to be of paramount importance, before which everything else had to give way. Hence, for example, his questionable attitude toward Hitler and Mussolini, and his reputation as a touchy, unpredictable man as famous for his enmities as for his friendships. Stephen Walsh, long established as an expert on Stravinsky's music, has drawn upon a vast array of material, much of it unpublished or unavailable in English, to bring the man himself, in all his color and genius, to glowing life. Written with elegance and energy, comprehensive, balanced, and original, Stravinsky is essential reading for anyone interested in the adventure of art in our time. Praise from the British press for Stephen Walsh's The Music of Stravinsky ""One of the finest general studies of the composer."" --Wilfrid Mellers, composer, Times Literary Supplement ""The beautiful prose of The Music of Stravinsky is itself a fund of arresting images. For those who already love Stravinsky's music, Walsh's essays on each work will bring a smile of recognition and joy at new kernels of insight. For those unfamiliar with many of the works he discusses, Walsh's commentaries are likely to whet appetites for performances of the works."" --John Shepherd, Notes ""This book sent me scurrying back to the scores and made me want to recommend it to other people. Above all, it is a good read."" --Anthony Pople, Music and Letters",Biography & Autobiography,,,http://books.google.com/books/content?id=XlzrDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Ancient Traditions of the Virgin Mary's Dormition and Assumption,Stephen J. Shoemaker,"This is an open access title available under the terms of a CC BY-NC-ND 4.0 International licence. It is free to read on the Oxford Academic platform and offered as a free PDF download from OUP and selected open access locations. The ancient Dormition and Assumption traditions are a collection of over sixty different narratives, preserved in nine ancient languages, that commemorate the end of the Virgin Mary's life. These traditions have long been overlooked by scholars of early Christianity, no doubt largely because this complicated corpus was insufficiently well known. The present study aims to remedy this situation with a detailed analysis of the earliest traditions of Mary's death, including liturgical and archaeological evidence as well as the numerous narrative sources. Several of the most important narratives are translated in appendices, many appearing in English for the first time. The book will be of interest to all scholars of early Christian literature.",Religion,,,http://books.google.com/books/content?id=sQ1REAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Losing My Virginity,Richard Branson,"Not long ago the Big Thicket of East Texas was still one of those places singular in its southernness, like the Mississippi Delta or the Carolina Low Country. Now its old-timers and their ways are nearly gone. They will not be forgotten, though, for in My Grandfather's Finger Edward Swift recalls a Big Thicket populated by family and friends as gloriously vibrant and enigmatic as the land itself. From Camp Ruby to nearby Woodville and all the swamps, bayous, and forests in between, Swift shows us a place and time so fecund with humor, tragedy, and good talk that, in growing up there, he had no choice but to become a novelist. We meet, among many others, Mother, a widowed war bride who would spring-clean the inside of her house with a garden hose, and Aunt Coleta, childlike and always surrounded by an entourage of kids half enchanted by her and half scared witless. Then there are Uncle Frank, who, with self-fulfilling flair, would have drawn a pistol at the merest suggestion that his family was dysfunctional, and, of course, Grandfather, who lost his finger to a machete and his mind to cough medicine. A mystical world of carnivals, talking fiddles, houses on wheels, atomic bombs, and total-immersion baptisms, Edward Swift's Big Thicket was also a world in which he was loved unconditionally--and that alone makes it worth getting to know.",Biography & Autobiography,4.5,15,http://books.google.com/books/content?id=2dul1OKgBQIC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Chopin and Other Musical Essays,Henry T. Finck,"Chopin and Other Musical Essays: This collection of essays by George Alexander Osborne explores the lives and works of some of the greatest composers of the Romantic era, including Chopin, Liszt, and Schumann. With insightful analyses of their music, as well as engaging anecdotes about their personal lives, ""Chopin and Other Musical Essays"" offers a fascinating glimpse into the world of classical music.",Music,,,http://books.google.com/books/content?id=BtDCDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"The Prima Donna and Opera, 1815-1930",Susan Rutherford,An examination of the female opera singer during the nineteenth and twentieth centuries.,Music,5,1,http://books.google.com/books/content?id=s1j6Jl2LOfgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
A Basic Classical and Operatic Recordings Collection for Libraries,Kenyon C. Rosenberg,No descriptive material is available for this title.,Language Arts & Disciplines,,,http://books.google.com/books/content?id=2ntptSNV4f8C&printsec=frontcover&img=1&zoom=1&source=gbs_api
How Music Works,David Byrne,"NEW YORK TIMES BESTSELLER • David Byrne’s incisive and enthusiastic look at the musical art form, from its very inceptions to the influences that shape it, whether acoustical, economic, social, or technological—now updated with a new chapter on digital curation. “How Music Works is a buoyant hybrid of social history, anthropological survey, autobiography, personal philosophy, and business manual”—The Boston Globe Utilizing his incomparable career and inspired collaborations with Talking Heads, Brian Eno, and many others, David Byrne taps deeply into his lifetime of knowledge to explore the panoptic elements of music, how it shapes the human experience, and reveals the impetus behind how we create, consume, distribute, and enjoy the songs, symphonies, and rhythms that provide the backbeat of life. Byrne’s magnum opus uncovers thrilling realizations about the redemptive liberation that music brings us all.",Music,,,http://books.google.com/books/content?id=Aa7NDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Cambridge Companion to the Violin,Robin Stowell,"The Cambridge Companion to the Violin offers students, performers, and scholars a fascinating and composite survey of the history and repertory of the instrument from its origins to the present day. The volume comprises fifteen essays, written by a team of specialists, and is intended to develop the violin's historical perspective in breadth and from every relevant angle. The principal subjects discussed include the instrument's structure and development; its fundamental acoustical properties; principal exponents; technique and teaching principles; solo and ensemble repertory; pedagogical literature; traditions in folk music and jazz; and aspects of historical performing practice. The text is supported by numerous illustrations and diagrams as well as music examples, a useful appendix, glossary of technical terms, and an extensive bibliography.",Music,,,http://books.google.com/books/content?id=EYshAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"America, the Band",Jude Warne,"As if recovering from a raucous dream of the 1960s, Gerry Beckley, Dewey Bunnell, and Dan Peek arrived on 1970s American radio with a sound that echoed disenchanted hearts of young people everywhere. The three American boys had named their band after a country they’d watched and dreamt of from their London childhood Air Force base homes. What was this country? This new band? Classic and timeless, America embodied the dreams of a nation desperate to emerge from the desert and finally give their horse a name. Celebrating the band’s fiftieth anniversary, Gerry Beckley and Dewey Bunnell share stories of growing up, growing together, and growing older. Journalist Jude Warne weaves original interviews with Beckley, Bunnell, and many others into a dynamic cultural history of America, the band, and America, the nation. Reliving hits like “Ventura Highway,” “Tin Man,” and of course, “A Horse with No Name” from their 19 studio albums and incomparable live recordings, this book offers readers a new appreciation of what makes some music unforgettable and timeless. As America’s music stays in rhythm with the heartbeats of its millions of fans, new fans feel the draw of a familiar emotion. They’ve felt it before in their hearts and thanks to America, they can now hear it, share it, and sing along.",Biography & Autobiography,,,http://books.google.com/books/content?id=CpHUDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
My Side of Life: The Autobiography,Shane Filan,"As a lead singer of Westlife, one of the most successful pop acts of all time, Shane Filan was on top of the world. Together with the band, he achieved an incredible 14 No.1 singles (a record beaten only by the Beatles) sold 44 million records and was adored by fans the world over. Everything he touched turned to gold, or so it seemed. Like many others, he had piled his fortunes into the Irish property boom and when the bubble burst, Shane struggled with mounting debt. Just ten days after Westlife’s final farewell concert, in front of a sold-out crowd of 80,000 fans, Shane was declared bankrupt with debts of £18 million – losing everything. But this wasn’t the end for Shane Filan – a devoted singer and family man, Shane circled back to his roots and a year later he launched his solo career. In My Side of Life Shane shares his story for the first time – his early years growing up as part of a large Irish family in Co. Sligo, the phenomenal success of Westlife and the ups and downs of their time together, the breakup of the band, his financial devastation, and finally going it alone as a solo artist. This is Shane’s side of the story.",Biography & Autobiography,,,http://books.google.com/books/content?id=JkDLAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Companion to Medieval and Renaissance Music,"Tess Knighton, David Fallows","With contributions from a range of internationally known early music scholars and performers, Tess Knighton and David Fallows provide a lively new survey of music and culture in Europe from the beginning of the Christian era to 1600. Fifty essays comment on the social, historical, theoretical, and performance contexts of the music and musicians of the period to offer fresh perspectives on musical styles, research sources, and performance practices of the medieval and Renaissance periods.",Art,,,http://books.google.com/books/content?id=KbgwDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Opera and Drama,Richard Wagner,,Drama,,,http://books.google.com/books/content?id=0gEMAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Monteverdi and the End of the Renaissance,Gary Tomlinson,"Combining a close study of Monteverdi's secular works with recent research on late Renaissance history, Gary Tomlinson places the composer's creative career in its broad cultural context and illuminates the state of Italian music, poetry, and ideology in the sixteenth and seventeenth centuries.",Biography & Autobiography,,,http://books.google.com/books/content?id=vUR_hSCV9OgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Worship Old and New,"Robert E. Webber, Robert Webber","The revised edition of this book, first published in 1982, comes at a time of self-conscious evaluation by Christians of how they worship on Sunday.",Music,,,http://books.google.com/books/content?id=10vjaO1rKfYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"Music, Culture and Identity in the Muslim World",Kamal Salhi,"In contrast to many books on Islam that focus on political rhetoric and activism, this book explores Islam's extraordinarily rich cultural and artistic diversity, showing how sound, music and bodily performance offer a window onto the subtleties and humanity of Islamic religious experience. Through a wide range of case studies from West Asia, South Asia and North Africa and their diasporas - including studies of Sufi chanting in Egypt and Morocco, dance in Afghanistan, and ""Muslim punk"" on-line - the book demonstrates how Islam should not be conceived of as being monolithic or monocultural, how there is a large disagreement within Islam as to how music and performance should be approached, such disagreements being closely related to debates about orthodoxy, secularism, and moderate and fundamental Islam, and how important cultural activities have been, and continue to be, for the formation of Muslim identity.",Social Science,,,http://books.google.com/books/content?id=V85iAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Penguin Guide to Jazz on CD,"Richard Cook, Brian Morton","In this expanded edition of the world's leading guide to recorded jazz, Richard Cook and Brian Morton have reassessed each artist's entry and updated the text to incorporate thousands of additional CD releases. This endlessly browsable companion has won a devoted audience among afficinados and jazz novices alike.",Music,,,http://books.google.com/books/content?id=VNVHAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Book of Operas EasyRead Comfort Edition,Henry Krehbiel,A delightful book about the history of operas. Krehbiel uses musical excerpts to make his work more charming and hypnotic. Mesmerizing!,,,,http://books.google.com/books/content?id=aHJnh3NizgEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Mendelssohn and Victorian England,ColinTimothy Eatock,"This valuable book considers the reception of the composer, pianist, organist and conductor Felix Mendelssohn in nineteenth-century England, and his influence on English musical culture. Despite the composer's immense popularity in the nation during his lifetime and in the decades following his death, this is the first book to deal exclusively with the subject of Mendelssohn in England. Mendelssohn's highly successful ten trips to Britain, between 1829 and 1847, are documented and discussed in detail, as are his relationships with English musicians and a variety of prominent figures. An introductory chapter describes the musical life of England (especially London) at the time of Mendelssohn's arrival and the last two chapters deal with the composer's posthumous reception, to the end of the Victorian era. Eatock reveals Mendelssohn as a catalyst for the expansion of English musical culture in the nineteenth century. In taking this position, the author challenges much of the extant literature on the subject and provides an engaging story that brings Mendelssohn and his English experiences to life.",Music,,,http://books.google.com/books/content?id=IS8rDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
This is Serbia Calling,Matthew Collin,"This is the story of a courageous group of young people living under Milosevic's represssive rule, who waged a 10-year battle for freedom, armed only with a radio transmitter, some rock'n'roll records and a dream of truth, justice and another kind of life. It is a book about a group of idealists who want to play good music over the airwaves, but have to negotiate two wars, economic sanctions, violent police and government crackdowns, armed gangsters and neo-Nazi politicians.",Education,,,http://books.google.com/books/content?id=3IZpAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Haydn,DavidWyn Jones,"This volume brings together a selection of the most stimulating and influential writing on Haydn and his music in the English language. Written by a range of established and younger scholars it probes a variety of aesthetic, biographical, compositional, performance and reception issues. A specially written introduction summarizes the significance of each essay, directs the reader to appropriate complementary material and seeks the common ground between the essays; to assist with consistent referencing the individual essays retain their original pagination. This representative compendium of Haydn research provides the opportunity to explore the intellectual diversity of recent scholarship and is an indispensable publication for students of Haydn, whether new or old, amateur or professional.",History,,,http://books.google.com/books/content?id=PigxDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Cambridge Companion to Conducting,José Antonio Bowen,"In this wide-ranging inside view of the history and practice of conducting, analysis and advice comes directly from working conductors, including Sir Charles Mackerras on opera, Bramwell Tovey on being an Artistic Director, Martyn Brabbins on modern music, Leon Botstein on programming and Vance George on choral conducting, and from those who work closely with conductors: a leading violinist describes working as a soloist with Stokowski, Ormandy and Barbirolli, while Solti and Abbado's studio producer explains orchestral recording, and one of the world's most powerful managers tells all. The book includes advice on how to conduct different types of groups (choral, opera, symphony, early music) and provides a substantial history of conducting as a study of national traditions. It is an unusually honest book about a secretive industry and managers, artistic directors, soloists, players and conductors openly discuss their different perspectives for the first time.",Music,,,http://books.google.com/books/content?id=rVMiAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Music and Musical Thought in Early India,Lewis Rowell,"Offering a broad perspective of the philosophy, theory, and aesthetics of early Indian music and musical ideology, this study makes a unique contribution to our knowledge of the ancient foundations of India's musical culture. Lewis Rowell reconstructs the tunings, scales, modes, rhythms, gestures, formal patterns, and genres of Indian music from Vedic times to the thirteenth century, presenting not so much a history as a thematic analysis and interpretation of India's magnificent musical heritage. In Indian culture, music forms an integral part of a broad framework of ideas that includes philosophy, cosmology, religion, literature, and science. Rowell works with the known theoretical treatises and the oral tradition in an effort to place the technical details of musical practice in their full cultural context. Many quotations from the original Sanskrit appear here in English translation for the first time, and the necessary technical information is presented in terms accessible to the nonspecialist. These features, combined with Rowell's glossary of Sanskrit terms and extensive bibliography, make Music and Musical Thought in Early India an excellent introduction for the general reader and an indispensable reference for ethnomusicologists, historical musicologists, music theorists, and Indologists.",Music,5,1,http://books.google.com/books/content?id=XHxkvLUIENIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Song of Exile,David W. Stowe,"Oft-referenced and frequently set to music, Psalm 137 - which begins ""By the rivers of Babylon, there we sat down, yea, we wept, when we remembered Zion"" - has become something of a cultural touchstone for music and Christianity across the Atlantic world. It has been a top single more than once in the 20th century, from Don McLean's haunting Anglo-American folk cover to Boney M's West Indian disco mix. In Song of Exile, David Stowe uses a wide-ranging, interdisciplinary approach that combines personal interviews, historical overview, and textual analysis to demonstrate the psalm's enduring place in popular culture. The line that begins Psalm 137 - one of the most lyrical of the Hebrew Bible - has been used since its genesis to evoke the grief and protest of exiled, displaced, or marginalized communities. Despite the psalm's popularity, little has been written about its reception during the more than 2,500 years since the Babylonian exile. Stowe locates its use in the American Revolution and the Civil Rights movement, and internationally by anti-colonial Jamaican Rastafari and immigrants from Ireland, Korea, and Cuba. He studies musical references ranging from the Melodians' Rivers of Babylon to the score in Kazakh film Tulpan. Stowe concludes by exploring the presence and absence in modern culture of the often-ignored final words: ""Happy shall he be, that taketh and dasheth thy little ones against the stones."" Usually excised from liturgy and forgotten by scholars, Stowe finds these words echoed in modern occurrences of genocide and ethnic cleansing, and more generally in the culture of vengeance that has existed in North America from the earliest conflicts with Native Americans. Based on numerous interviews with musicians, theologians, and writers, Stowe reconstructs the rich and varied reception history of this widely used, yet mysterious, text.",Religion,,,http://books.google.com/books/content?id=Nt0mDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Punk Ethnography,"Michael E. Veal, E. Tammy Kim","This ground-breaking case study examines record production as ethnographic work. Since its founding in 2003, Seattle-based record label Sublime Frequencies has produced world music recordings that have been received as radical, sometimes problematic critiques of the practices of sound ethnography. Founded by punk rocker brothers Alan and Richard Bishop, along with filmmaker Hisham Mayet, the label's releases encompass collagist sound travelogues; individual artist compilations; national, regional and genre surveys; and DVDs—all designed in a distinctive graphic style recalling the DIY aesthetic of punk and indie rock. Sublime Frequencies' producers position themselves as heirs to canonical ethnographic labels such as Folkways, Nonesuch, and Musique du Monde, but their aesthetic and philosophical roots in punk, indie rock, and experimental music effectively distinguish their work from more conventional ethnographic norms. Situated at the intersection of ethnomusicology, sound studies, cultural anthropology, and popular music studies, the essays in this volume explore the issues surrounding the label—including appropriation and intellectual property—while providing critical commentary and charting the impact of the label through listener interviews.",Music,,,http://books.google.com/books/content?id=Oqv3DAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Introduction to Post-Tonal Theory,Joseph N. Straus,"Now published by Norton, Introduction to Post-Tonal Theory has been thoroughly updated to reflect the latest developments in the field, with additional coverage of transformational theory and voice leading. The Fourth Edition helps students identify key theoretical points and guides them through the process of analysis, while also offering new recently composed musical examples—all at an exceptional value.",Music,,,http://books.google.com/books/content?id=AwZ4DAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Reading Jazz,Robert Gottlieb,"Displaying keen intellectual discernment and great passion, Robert Gottlieb, former president of Alfred A. Knopf, Inc., and former editor of The New Yorker, brings together more than 150 excerpts from books, journals, magazines, and newspapers, creating a monumental anthology of essays about jazz--the life and the music--and rescuing many an important but neglected writer from oblivion.",Biography & Autobiography,,,http://books.google.com/books/content?id=NIbuAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
In Search of Wagner,Theodor W. Adorno,"This new edition includes a lengthy foreword by Slavoj Zizek, entitled ""Why is Wagner worth saving?""",Biography & Autobiography,,,http://books.google.com/books/content?id=F4IIAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Culture of Connectivity,José van Dijck,"The Culture of Connectivity tells the full story of the rise of social media in the first decade of the twenty-first century up to the present, providing both a historical and a critical analysis of the emergence of major platforms in the context of a rapidly changing ecosystem of connective media. platforms such as Facebook, Twitter, Flickr, YouTube, and Wikipedia.",Social Science,,,http://books.google.com/books/content?id=tfudBbbCLzEC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Tippett and His Operas,Eric Walter White,,Biography & Autobiography,,,http://books.google.com/books/content?id=wQgIAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
